status,path,n_up,n_down,expected_Sz,n_particles,reason
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/_archive/2026-04-12_cleanup/timestamped_runs/20260331_085858_validate_nonint_n2_double_1_1,,,,,n_particles unknown from config.yaml
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/_archive/2026-04-12_cleanup/timestamped_runs/20260331_090419_validate_nonint_n4_double_2_2,,,,,n_particles unknown from config.yaml
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/arch_n2_ctnn_s301_20260403_200128,,,,,n_particles unknown from config.yaml
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/arch_n2_ctnn_s301_20260403_210745,,,,,n_particles unknown from config.yaml
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/arch_n2_ctnn_s301_20260406_090836,,,,,n_particles unknown from config.yaml
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/arch_n2_ctnn_s301_20260406_100033,,,,,n_particles unknown from config.yaml
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/arch_n2_pinn_s301_20260403_191051,,,,,n_particles unknown from config.yaml
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/arch_n2_pinn_s301_20260403_205744,,,,,n_particles unknown from config.yaml
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/arch_n2_pinn_s301_20260406_090919,,,,,n_particles unknown from config.yaml
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/arch_n2_pinn_s301_20260406_094925,,,,,n_particles unknown from config.yaml
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/arch_n2_unified_s301_20260403_212812,,,,,n_particles unknown from config.yaml
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/arch_n2_unified_s301_20260406_091011,,,,,n_particles unknown from config.yaml
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/arch_n2_unified_s301_20260406_095734,,,,,n_particles unknown from config.yaml
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/arch_n4_ctnn_s401_20260406_163419,,,,,n_particles unknown from config.yaml
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/arch_n4_pinn_s401_20260403_214434,,,,,n_particles unknown from config.yaml
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/arch_n4_pinn_s401_20260406_091110,,,,,n_particles unknown from config.yaml
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/arch_n4_pinn_s401_20260406_100359,,,,,n_particles unknown from config.yaml
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/arch_n4_pinn_s401_20260406_163521,,,,,n_particles unknown from config.yaml
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/arch_n4_pinn_s401_20260406_224854,,,,,n_particles unknown from config.yaml
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/arch_n4_pinn_s402_20260406_163623,,,,,n_particles unknown from config.yaml
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/arch_n4_pinn_s402_20260406_224832,,,,,n_particles unknown from config.yaml
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/arch_n4_unified_s401_20260406_163746,,,,,n_particles unknown from config.yaml
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/arch_n4_unified_s401_20260407_011924,,,,,n_particles unknown from config.yaml
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_n4_baseline_s42_d2.5__stageA_improved_self_residual_20260427_110458,2,2,0.0,4,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_n4_baseline_s42_d3__stageA_improved_self_residual_20260427_110949,2,2,0.0,4,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_n4_baseline_s42_d4__stageA_improved_self_residual_20260427_111438,2,2,0.0,4,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_n4_baseline_s42_d5__stageA_improved_self_residual_20260427_111928,2,2,0.0,4,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_n4_baseline_s42_d6__stageA_improved_self_residual_20260427_112416,2,2,0.0,4,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_n8_fast_s42_b0__stageA_improved_self_residual_20260427_221531,4,4,0.0,8,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_n8_fast_s42_b0p05__stageA_improved_self_residual_20260427_225458,4,4,0.0,8,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_n8_fast_s42_b0p2__stageA_improved_self_residual_20260427_233712,4,4,0.0,8,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_n8_fast_s42_b0p5__stageA_improved_self_residual_20260428_001900,4,4,0.0,8,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_n8_fast_s42_b1__stageA_improved_self_residual_20260428_010117,4,4,0.0,8,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_n8_fast_s42_d2.5__stageA_improved_self_residual_20260427_182832,4,4,0.0,8,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_n8_fast_s42_d3__stageA_improved_self_residual_20260427_192005,4,4,0.0,8,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_n8_fast_s42_d4__stageA_improved_self_residual_20260427_195648,4,4,0.0,8,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_n8_fast_s42_d5__stageA_improved_self_residual_20260427_203651,4,4,0.0,8,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_n8_fast_s42_d6__stageA_improved_self_residual_20260427_211555,4,4,0.0,8,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_centre__singlet__stageA_improved_self_residual_20260426_215431,1,1,0.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_centre__singlet__stageA_improved_self_residual_20260426_222338,1,1,0.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_centre__singlet__stageA_improved_self_residual_20260427_094836,1,1,0.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_centre__singlet__stageA_singlet_self_residual_20260427_101247,1,1,0.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_centre__stageA_improved_self_residual_20260426_201031,2,2,0.0,4,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_centre__stageA_improved_self_residual_20260426_205149,2,2,0.0,4,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_centre__stageA_improved_self_residual_20260426_233716,2,2,0.0,4,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_centre__stageA_improved_self_residual_20260427_020152,4,4,0.0,8,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_centre__stageA_improved_self_residual_20260427_081214,4,4,0.0,8,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_centre__stageA_improved_self_residual_20260427_112935,2,2,0.0,4,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_centre__stageA_improved_self_residual_20260427_144839,1,1,0.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_centre__stageA_singlet_self_residual_20260426_173509,1,1,0.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_centre__stageA_singlet_self_residual_20260426_174122,1,1,0.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_centre__stageA_singlet_self_residual_20260426_180303,1,1,0.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_centre__stageA_singlet_self_residual_20260426_180345,1,1,0.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_centre__stageB_noref_20260426_173519,1,1,0.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_centre__stageB_noref_20260426_174232,1,1,0.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_centre__triplet__stageA_improved_self_residual_20260426_215527,2,0,1.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_centre__triplet__stageA_improved_self_residual_20260426_222435,2,0,1.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_centre__triplet__stageA_improved_self_residual_20260427_094957,2,0,1.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_centre__triplet__stageA_improved_self_residual_20260427_100915,2,0,1.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_centre__triplet__stageA_improved_self_residual_20260427_101409,2,0,1.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_minus__singlet__stageA_improved_self_residual_20260426_215828,1,1,0.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_minus__singlet__stageA_improved_self_residual_20260426_222734,1,1,0.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_minus__singlet__stageA_improved_self_residual_20260427_095420,1,1,0.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_minus__singlet__stageA_singlet_self_residual_20260427_101920,1,1,0.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_minus__stageA_improved_self_residual_20260426_201913,2,2,0.0,4,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_minus__stageA_improved_self_residual_20260426_205911,2,2,0.0,4,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_minus__stageA_improved_self_residual_20260426_234442,2,2,0.0,4,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_minus__stageA_improved_self_residual_20260427_035648,4,4,0.0,8,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_minus__stageA_improved_self_residual_20260427_145356,1,1,0.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_minus__stageA_singlet_self_residual_20260426_173630,1,1,0.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_minus__stageA_singlet_self_residual_20260426_174808,1,1,0.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_minus__stageA_singlet_self_residual_20260426_181553,1,1,0.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_minus__stageB_noref_20260426_173641,1,1,0.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_minus__triplet__stageA_improved_self_residual_20260426_215925,2,0,1.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_minus__triplet__stageA_improved_self_residual_20260426_222830,2,0,1.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_minus__triplet__stageA_improved_self_residual_20260427_095543,2,0,1.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_minus__triplet__stageA_improved_self_residual_20260427_102043,2,0,1.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_plus__singlet__stageA_improved_self_residual_20260426_215629,1,1,0.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_plus__singlet__stageA_improved_self_residual_20260426_222536,1,1,0.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_plus__singlet__stageA_improved_self_residual_20260427_095128,1,1,0.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_plus__singlet__stageA_singlet_self_residual_20260427_101603,1,1,0.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_plus__stageA_improved_self_residual_20260426_201443,2,2,0.0,4,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_plus__stageA_improved_self_residual_20260426_205528,2,2,0.0,4,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_plus__stageA_improved_self_residual_20260426_234101,2,2,0.0,4,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_plus__stageA_improved_self_residual_20260427_025927,4,4,0.0,8,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_plus__stageA_improved_self_residual_20260427_084604,4,4,0.0,8,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_plus__stageA_improved_self_residual_20260427_113431,2,2,0.0,4,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_plus__stageA_improved_self_residual_20260427_145119,1,1,0.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_plus__stageA_singlet_self_residual_20260426_173551,1,1,0.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_plus__stageA_singlet_self_residual_20260426_174446,1,1,0.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_plus__stageA_singlet_self_residual_20260426_180954,1,1,0.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_plus__stageB_noref_20260426_173602,1,1,0.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_plus__stageB_noref_20260426_174558,1,1,0.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_plus__triplet__stageA_improved_self_residual_20260426_215726,2,0,1.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_plus__triplet__stageA_improved_self_residual_20260426_222633,2,0,1.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_plus__triplet__stageA_improved_self_residual_20260427_095250,2,0,1.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir0_plus__triplet__stageA_improved_self_residual_20260427_101725,2,0,1.0,2,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir1_minus__stageA_improved_self_residual_20260426_202751,2,2,0.0,4,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir1_minus__stageA_improved_self_residual_20260426_210635,2,2,0.0,4,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir1_minus__stageA_improved_self_residual_20260426_235204,2,2,0.0,4,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir1_minus__stageA_improved_self_residual_20260427_055144,4,4,0.0,8,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir1_plus__stageA_improved_self_residual_20260426_202334,2,2,0.0,4,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir1_plus__stageA_improved_self_residual_20260426_210253,2,2,0.0,4,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir1_plus__stageA_improved_self_residual_20260426_234822,2,2,0.0,4,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir1_plus__stageA_improved_self_residual_20260427_045409,4,4,0.0,8,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir1_plus__stageA_improved_self_residual_20260427_091914,4,4,0.0,8,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir1_plus__stageA_improved_self_residual_20260427_114434,2,2,0.0,4,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir2_minus__stageA_improved_self_residual_20260427_074643,4,4,0.0,8,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir2_plus__stageA_improved_self_residual_20260427_064927,4,4,0.0,8,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir2_plus__stageA_improved_self_residual_20260427_115633,2,2,0.0,4,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir3_minus__stageA_improved_self_residual_20260427_094203,4,4,0.0,8,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir3_plus__stageA_improved_self_residual_20260427_084428,4,4,0.0,8,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir3_plus__stageA_improved_self_residual_20260427_120832,2,2,0.0,4,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir4_plus__stageA_improved_self_residual_20260427_121549,2,2,0.0,4,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir5_plus__stageA_improved_self_residual_20260427_122048,2,2,0.0,4,
pass,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/invdes_step000_dir6_plus__stageA_improved_self_residual_20260427_122547,2,2,0.0,4,
